actor_name,total_votes,movie_count,actor_avg_rating,actor_rank
"Vijay Sethupathi",23114,5,8.42,1
"Fahadh Faasil",13557,5,7.99,2
"Yogi Babu",8500,11,7.83,3
"Joju George",3926,5,7.58,4
"Ammy Virk",2504,6,7.55,5
"Dileesh Pothan",6235,5,7.52,6
"Kunchacko Boban",5628,6,7.48,7
"Pankaj Tripathi",40728,5,7.44,8
"Rajkummar Rao",42560,6,7.37,9
"Dulquer Salmaan",17666,5,7.30,10
"Amit Sadh",13355,5,7.21,11
"Tovino Thomas",11596,8,7.15,12
Mammootty,12613,8,7.04,13
Nassar,4016,5,7.03,14
"Karamjit Anmol",1970,6,6.91,15
"Hareesh Kanaran",3196,5,6.58,16
"Naseeruddin Shah",12604,5,6.54,17
Anandraj,2750,6,6.54,18
Mohanlal,17244,6,6.51,19
"Aju Varghese",2237,5,6.43,20
Siddique,5953,7,6.43,21
"Prakash Raj",8548,6,6.37,22
"Jimmy Sheirgill",3826,6,6.29,23
"Mahesh Achanta",2716,6,6.21,24
"Biju Menon",1916,5,6.21,25
"Suraj Venjaramoodu",4284,6,6.19,26
"Abir Chatterjee",1413,5,5.80,27
"Sunny Deol",4594,5,5.71,28
"Radha Ravi",1483,5,5.70,29
"Prabhu Deva",2044,5,5.68,30
