title,avg_rating,Class
[Cargo],2.5,"Flop movie"
#Captured,6.1,"One-time-watch movie"
#Followme,4.3,"Flop movie"
#Selfi,5.1,"One-time-watch movie"
#SquadGoals,4.0,"Flop movie"
"1 Buck",6.0,"One-time-watch movie"
"100 Ghost Street: The Return of Richard Speck",3.9,"Flop movie"
10x10,5.0,"One-time-watch movie"
118,6.6,"One-time-watch movie"
"12 Feet Deep",5.6,"One-time-watch movie"
122,7.1,"Hit movie"
"18am Padi",6.2,"One-time-watch movie"
2:22,5.8,"One-time-watch movie"
"200 Degrees",4.4,"Flop movie"
"2036 Origin Unknown",4.6,"Flop movie"
"22-nenme no kokuhaku: Watashi ga satsujinhan desu",6.8,"One-time-watch movie"
"24 Hours to Live",5.7,"One-time-watch movie"
3,4.2,"Flop movie"
"3 Lives",3.2,"Flop movie"
"3 ting",5.5,"One-time-watch movie"
"30 Miles from Nowhere",4.2,"Flop movie"
"4 Rah Istanbul",5.5,"One-time-watch movie"
"5 è il numero perfetto",6.0,"One-time-watch movie"
"5 Frauen",4.7,"Flop movie"
"59 Seconds",7.1,"Hit movie"
"5th Passenger",3.1,"Flop movie"
"7 Hosil",5.7,"One-time-watch movie"
"7 Nyeon-eui bam",5.9,"One-time-watch movie"
"7 Splinters in Time",3.3,"Flop movie"
"7 Witches",3.5,"Flop movie"
"70 Binladens",5.8,"One-time-watch movie"
706,5.3,"One-time-watch movie"
"8 Remains",4.0,"Flop movie"
"8 Thottakkal",7.6,"Hit movie"
9/11,4.1,"Flop movie"
"A Crooked Somebody",6.2,"One-time-watch movie"
"A Deadly View",3.2,"Flop movie"
"A Death in the Gunj",7.5,"Hit movie"
"A Good Woman Is Hard to Find",6.1,"One-time-watch movie"
"A Life Not to Follow",7.3,"Hit movie"
"A Lover Betrayed",5.4,"One-time-watch movie"
"A martfüi rém",7.0,"Hit movie"
"A Night to Regret",5.2,"One-time-watch movie"
"A Patch of Fog",6.5,"One-time-watch movie"
"A Place in Hell",3.0,"Flop movie"
"A Room to Die For",3.4,"Flop movie"
"A Tale of Shadows",5.9,"One-time-watch movie"
"A Thought of Ecstasy",4.1,"Flop movie"
"A Violent Man",5.8,"One-time-watch movie"
"A Violent Separation",5.5,"One-time-watch movie"
"A Young Man with High Potential",5.6,"One-time-watch movie"
Aadai,6.4,"One-time-watch movie"
Aadhi,6.7,"One-time-watch movie"
Aake,6.0,"One-time-watch movie"
"Aala Kaf Ifrit",7.0,"Hit movie"
"Aapla Manus",7.5,"Hit movie"
Abduct,4.8,"Flop movie"
"Above Ground",4.0,"Flop movie"
"Abrahaminte Santhathikal",7.7,"Hit movie"
Abrakadabra,5.7,"One-time-watch movie"
Abstruse,9.0,"Superhit movie"
