genre,avg_duration,running_total_duration,moving_avg_duration
Action,112.88,112.8829,112.88290000
Adventure,101.87,214.7543,107.37715000
Comedy,102.62,317.3770,105.79233333
Crime,107.05,424.4287,106.10717500
Drama,106.77,531.2033,106.24066000
Family,100.97,632.1702,105.36170000
Fantasy,105.14,737.3106,105.33008571
Horror,92.72,830.0349,103.75436250
Mystery,101.80,931.8349,103.53721111
Others,100.16,1031.9949,103.19949000
Romance,109.53,1141.5291,103.77537273
Sci-Fi,97.94,1239.4704,103.28920000
Thriller,101.58,1341.0465,103.15742308
